dirty_data	product	alt_lang	question_text	question_code
Argentina National Artistic Roller Skating Team	NextGen Germany	de	What is your favourite sports team?	HOBB011
Argentina National Artistic Roller Skating Team	NextGen Italy	it	What is your favourite sports team?	HOBB011
Argentina national football team(منتخب الأرجنتين لكرة القدم)	Kids Saudi Arabia	ar	What is your favourite sports team?	HOBB011
Argentina sellection	NextGen Italy	it	What is your favourite sports team?	HOBB011
Argentina Women's National Field Hockey Team	Kids Argentina	es-AR	What is your favourite sports team?	HOBB011
Argentina Women's National Field Hockey Team	Kids UK		What is your favourite sports team?	HOBB011
Argentina Women's National Field Hockey Team	NextGen France	fr	What is your favourite sports team?	HOBB011
Argentina Women's National Field Hockey Team	NextGen UK		What is your favourite sports team?	HOBB011
Argentina Women's National Volleyball Team	Kids Argentina	es-AR	What is your favourite sports team?	HOBB011
Argentina Women's National Volleyball Team	Kids Germany	de	What is your favourite sports team?	HOBB011
Argentina Women's National Volleyball Team	Kids Philippines	fil	What is your favourite sports team?	HOBB011
Argentina Women's National Volleyball Team	NextGen France	fr	What is your favourite sports team?	HOBB011
Argentina Women's National Volleyball Team	NextGen Germany	de	What is your favourite sports team?	HOBB011
Argentina Women's National Volleyball Team	NextGen Italy	it	What is your favourite sports team?	HOBB011
Argentina Women's National Volleyball Team	NextGen UK		What is your favourite sports team?	HOBB011
Argentina Women's National Volleyball Team of	Kids Philippines	fil	What is your favourite sports team?	HOBB011
Argentina/Barcelona	Kids US	es-MX	What is your favourite sports team?	HOBB011
Argentinas	Kids Canada	fr	What is your favourite sports team?	HOBB011
Argentinas	Kids Spain	es	What is your favourite sports team?	HOBB011
Arizona Rattlers	NextGen US		What is your favourite sports team?	HOBB011
Arkansas-Pine Bluff Golden Lions football	Kids UK		What is your favourite sports team?	HOBB011
Arkansas-Pine Bluff Golden Lions football	Kids US	es-MX	What is your favourite sports team?	HOBB011
Arkansas-Pine Bluff Golden Lions football	NextGen Italy	it	What is your favourite sports team?	HOBB011
Army football	NextGen US		What is your favourite sports team?	HOBB011
Arras	NextGen France	fr	What is your favourite sports team?	HOBB011
Arsenaal	NextGen UK		What is your favourite sports team?	HOBB011
Arsenal because of my dad	Kids UK		What is your favourite sports team?	HOBB011
Arsenal F.C. football	NextGen UK		What is your favourite sports team?	HOBB011
Arsenal(my dad's fav club too)	Kids UK		What is your favourite sports team?	HOBB011
Arsenal, Man u, Liverpool	Kids UK		What is your favourite sports team?	HOBB011
Artistic roller skating	NextGen Spain	es	What is your favourite sports team?	HOBB011
As an AI, I don't have personal preferences like favorite sports teams. However, I can access and process information about sports teams across various leagues and sports. Is there a particular sports team or league you're interested in? I can provide you with information about their performance, history, or recent news.	Kids US	es-MX	What is your favourite sports team?	HOBB011
AS Nancy Lorraine	Kids France	fr	What is your favourite sports team?	HOBB011
AS Nancy Lorraine	NextGen France	fr	What is your favourite sports team?	HOBB011
As Roma & LA Lakers	Kids Indonesia	id	What is your favourite sports team?	HOBB011
AS Vita Club	Kids Germany	de	What is your favourite sports team?	HOBB011
AS Vita Club	Kids Italy	it	What is your favourite sports team?	HOBB011
